dataset,record_id,label,prediction,confidence,text
healthfact,31887,0,1,0.9992461,An habitual alcohol abuser lost his penis to frostbite after a drunken sexual encounter with a snowman.
healthfact,31986,0,1,0.99923396,"The term ""Black Friday"" originated with the practice of selling off slaves on the day after Thanksgiving."
healthfact,31938,0,1,0.999233,"Newport developed marijuana cigarettes which will be available for purchase ""next year."
healthfact,32334,0,1,0.9992318,Eleven states have banned the use of electronic cigarettes inside cars.
healthfact,30970,0,1,0.9992279,An inaudible sonic weapon adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba.
healthfact,31637,0,1,0.9992254,A Japanese man was found dead months after being crushed by huge pile of pornography.
healthfact,22291,0,1,0.9992218,"Abortion services are ""well over 90 percent of what Planned Parenthood does."
healthfact,25787,0,1,0.99922,Facebook post Says series of 11 photos are “from the 1918 flu pandemic.”
healthfact,12194,0,1,0.99921477,"House Bill 330 ""grants immunity from liability to motorists who strike protesters."
healthfact,21924,0,1,0.9992073,"Adam Hasner Says George LeMieux ""even compared Marco Rubio to Barack Obama."
healthfact,26635,0,1,0.9992061,"Facebook post Says ""there is no"" COVID-19 virus."
fakehealth,story_reviews_00013,0,1,0.9992054,"(CNN) A five-minute neck scan could predict a person's risk of developing dementia a full decade before symptoms emerge, researchers have said. The test, which analyzes the pulse of blood vessels in the neck, could become part of routine testing for cognitive decline, according to the study by scientists at University College London (UCL), who presented their work Sunday at the American Heart Association's annual scientific conference. A group of almost 3,200 patients, aged 58-74, had ultrasounds on their necks in 2002, before having their cognitive functions monitored for up to 14 years, from 2002 to 2016. People with the most intense pulses, which pointed to a greater and more irregular blood flow, were up to 50% more likely to suffer reduced cognitive functions, the research found, because the strength with which blood traveled into their brains caused damage to the brain's network of blood vessels. Pulses become more intense when arteries near the heart are worn down -- usually by lifestyle factors such as poor diet and drug use -- and can no longer ""cushion"" the blood flow coming from the heart. ""If you can detect [the risk] in people in mid-life, it really gives an impetus to those people to change their lifestyle,"" said Dr. Scott Chiesa, post-doctoral researcher at UCL. ""What's good for the arteries is good for the brain,"" he added in summary of his findings. ""Dementia is not an inevitable cause of aging. How you live your life... has a real impact on how quickly your condition can decline."" If the findings are confirmed by larger studies, they could vastly improve the ability to detect dementia in middle age. And the scans would be ""well set up for routine testing,"" according to Chiesa. ""It's very easy to do, and it's very quick to do."" When healthy, arteries around the heart can regulate the blood being pumped from the organ, ensuring that it flows smoothly and at a constant rate to the brain. But damage to the arteries means blood flows more aggressively and irregularly through vessels and into the brain, which can damage its network of blood vessels and cells. Over time, the researchers believe this led more frequently to cognitive decline in participants in the study. ""What we do know is that the blood supply in the brain is incredibly important, and that maintaining a healthy heart and blood pressure is associated with a lower risk of developing dementia,"" said Carol Routledge, Director of Research at Alzheimer's Research UK, who was not involved in the research. Vascular dementia is directly caused by reduced blood flow to the brain, and this can also play a role in the development of Alzheimer's disease, studies have found. Those two conditions make up the vast majority of cases of dementia. Dementia is an umbrella term used to describe symptoms related to the loss of brain function. Alzheimer's disease and vascular dementia make up the vast majority of cases. Around 50 million people suffer from dementia worldwide, according to the World Health Organization , with numbers projected to rise to 152 million by 2050. In the United States, the condition is the sixth biggest cause of death among all adults, according to the US Centers for Disease Control and Prevention, while in the UK it has overtaken heart disease as the leading cause of death, according to the Office for National Statistics. 'Promising findings' The study's findings have been met with cautious optimism by dementia organizations. ""Getting a diagnosis of dementia can be time consuming and quite frustrating for many people, so it's promising that earlier indicators of cognitive decline are in development,"" said Paul Edwards, Director of Clinical Services at Dementia UK. But he added that focus should also be paid to dementia sufferers after their diagnosis, saying: ""The elephant in the room is the lack of support for people and their families once they get a diagnosis of dementia."" There is currently no cure for dementia, though medication can be used to temporarily treat its symptoms. ""Often, a diagnosis is made and then people are sent home with no information, no follow-up appointments and no clue about what is going to happen next."" Previous studies this year have linked dementia risk to lifestyle factors such as alcohol consumption and fitness level , but its effects remain largely incurable. More research is needed to determine whether neck scans should become a part of routine testing for dementia. ""While these findings are interesting, as the full data from this research is yet to be published it is difficult to assess how useful this kind of scan could be,"" said Routledge. Routledge added that current evidence shows that not smoking, only consuming alcohol within recommended limits, staying active, monitoring cholesterol levels and eating a balanced diet can all help with the health of the heart and brain."
healthfact,26569,0,1,0.99920505,"Facebook post Says Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.”"
