dataset,record_id,label,tfidf_prediction,biobert_prediction,pubmed_prediction,biobert_prob_1,pubmed_prob_1,text
healthfact,10667,0,1,1,1,0.5894024,0.669533,Artificial Pancreas Continues to Show Promise
healthfact,8959,0,1,1,1,0.92980224,0.9937756,"Too many people missing out on health benefits of golf, says expert panel"
healthfact,16366,1,0,0,0,0.44993696,0.0032211384,"Charlie Crist Says Rick Scott signed ""laws requiring mandatory ultrasounds and restricting access to abortion even in cases of rape or incest."
healthfact,9673,0,1,1,1,0.9262106,0.9994106,'Female Viagra' gets mixed reviews
healthfact,16846,1,0,0,0,0.16795741,0.057315767,"After Massachusetts passed a mandatory health insurance law ""their mortality rate went down...it saved lives."
healthfact,10748,1,0,0,0,0.06254192,0.0019348144,"Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation"
healthfact,33799,0,1,1,1,0.83694977,0.99801886,More women are victims of domestic violence on Super Bowl Sunday than on any other day of the year.
healthfact,12493,1,0,0,0,0.10897958,0.0006904829,"An ""abortion procedure is actually safer than a vasectomy."
healthfact,27280,1,0,0,0,0.4013951,0.46936417,"A Russian asbestos company placed a seal with the face of President Donald Trump on their product with the note ""Approved by Donald Trump, 45th President of the United States."
healthfact,35398,1,0,0,0,0.34611228,0.0021464108,A video shows two people waving guns at protesters in front of their home.
healthfact,13565,1,0,0,0,0.48219362,0.0022594281,"Mike Pence Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent."
healthfact,28228,1,0,0,0,0.17758502,0.0015684665,"Dr. Leon Eisenberg, the ‘father’ of ADHD, said just before his death that ADHD ‘is a prime example of a fictitious disease.’"
healthfact,18469,0,1,1,1,0.8574471,0.99441755,Abortionists have reduced our black population by more than 25 percent since 1973.
healthfact,10201,0,1,1,1,0.9853088,0.99869543,Partial rather than full knee replacements better for many – report
healthfact,9486,1,0,0,0,0.2861487,0.0010472923,There's a promising new HIV vaccine candidate in the pipeline
healthfact,17205,1,0,0,0,0.16008389,0.0007089268,Today’s marijuana is 300 percent to 800 percent more potent than the pot of yesteryear.
healthfact,9039,0,1,1,1,0.6432308,0.9995757,"Choose Omega-3s from fish over flax for cancer prevention, study finds"
healthfact,8996,0,1,1,1,0.76471007,0.9996214,"Promise of faster, more accessible schizophrenia diagnosis, Rutgers study shows"
healthfact,9316,0,1,1,1,0.87299544,0.86204904,"Five-minute neck scan can spot dementia 10 years earlier, say scientists"
healthfact,10740,0,1,1,1,0.9469461,0.99304867,Weighing effectiveness versus risk in obesity drugs
healthfact,10025,0,1,1,1,0.9875453,0.99976975,Aspirin Linked to Lower Pancreatic Cancer Risk
healthfact,9396,1,0,0,0,0.41609794,0.00068879285,How barbershops could help lower blood pressure
healthfact,27797,1,0,0,0,0.400669,0.0007127673,The family of Anne Frank sought (and was denied) refugee status in the United States.
healthfact,31938,0,1,1,1,0.90193295,0.99982184,"Newport developed marijuana cigarettes which will be available for purchase ""next year."
healthfact,10822,0,1,1,1,0.51304096,0.9990682,"Mammograms Save Lives for Women in Their 40s, Study Says"
healthfact,10979,0,1,1,1,0.6649378,0.9989446,"Drugs may make stents deadly, study says"
healthfact,26446,1,0,0,0,0.070796154,0.00079592486,Stay-at-home orders “actually are the law of these states.”
healthfact,28177,1,0,0,0,0.24059743,0.0010753492,Wells Fargo and Chase are invested in the Dakota Access Pipeline.
healthfact,9142,1,0,0,0,0.09626728,0.00066339504,Cannabis Derivative Cannabidiol Reduces Seizures in Severe Epilepsy Disorder
healthfact,10069,0,1,1,1,0.9666209,0.9975241,Compound May Fight Hard-to-Treat Lung Cancer
healthfact,29250,0,1,1,1,0.7468219,0.7643217,"Health officials have seen a surge in the number of people using ""bug spray"" to get high."
healthfact,18440,0,1,1,1,0.81796014,0.99274385,"Oregon Health Authority Says that in 2007, ""Oregon ranked 25th -- or 7th from the bottom -- in percentage of children with untreated decay compared to 32 other states with similar data."
healthfact,27427,1,0,0,0,0.33732894,0.24744947,United States health care facilities face an intravenous bag shortage because of the devastation wreaked by Hurricane Maria in September 2017.
healthfact,21275,1,0,0,0,0.20431884,0.1258469,"Wisconsin bill ""grants drug companies and medical device manufacturers immunity from injuries and deaths caused by their products."
healthfact,9793,0,1,1,1,0.8635758,0.9812324,"I’ll Take a Sperm Test, to Go: First at-Home Male-Infertility Test Debuts"
healthfact,9458,1,0,0,0,0.052936573,0.03097737,Researchers identify CTE biomarker that may lead to diagnosis while alive
healthfact,38040,1,0,0,0,0.3387729,0.0012500529,"The Village of Deerfield, Illinois, has approved an ordinance banning the possession of assault weapons and high-capacity magazines."
healthfact,10488,0,1,1,1,0.9159457,0.7992068,Genes offer predictions on leukemia
healthfact,27434,1,0,0,0,0.38197806,0.0015511609,"A video shows a sick, possibly starving polar bear on Baffin Island in the Canadian Arctic."
healthfact,21762,1,0,0,0,0.08085361,0.0007463717,There's no scientific conclusion that (being gay) is genetic.
healthfact,18510,0,1,1,1,0.72851044,0.68373334,"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year."
healthfact,23881,1,0,0,0,0.15542759,0.0016139538,Bill McCollum holds the same position on (embryonic stem cell research) as Barack Obama.
healthfact,12586,0,1,1,1,0.6091041,0.9910964,"After prohibition ended, police deaths didn't reach 200 a year again until the year Nixon declared war on drugs."
healthfact,21930,1,0,0,0,0.16044474,0.0016249323,"An amendment inserted by lawmakers into the state budget ""exempts scientific researchers from all state animal cruelty laws."
healthfact,35051,1,0,0,0,0.3221416,0.0016161966,"Images shared in March 2020 showed a convoy of military trucks transporting bodies away from an over-subscribed crematorium in Bergamo, Italy."
healthfact,37891,1,0,0,0,0.18188436,0.048564754,"Image of a COVID-19 anti-lockdown protester's sign calling to re-open ""Pennslvania"" and referencing ""we the peaple"" is not doctored or altered in any way."
healthfact,27974,1,0,0,0,0.1403889,0.008002059,An anti-seat belt law advocate was killed in automobile accident.
healthfact,10335,1,0,0,0,0.16632405,0.0010876522,"Mending broken sleep: Sleep apnea, the dangerous cessation of breathing during sleep, is being diagnosed more and more. A simple machine can bring refreshing relief"
healthfact,9344,1,0,0,0,0.076000065,0.00059936644,Hyperbaric oxygen: The mysterious therapy that saved a cancer survivor from radiation side effects
healthfact,36124,1,0,0,0,0.104900315,0.00060219166,Rolex sales records are so well-kept that they were used to solve an open homicide.
healthfact,38078,1,0,0,0,0.18602541,0.0012836735,"Pope Francis bestowed the Pontifical Medal upon Lilianne Ploumen, a Dutch pro-abortion activist."
healthfact,9470,1,0,0,0,0.45351133,0.0017799998,"Ecstasy could be ‘breakthrough’ therapy for soldiers, others suffering from PTSD"
healthfact,28108,1,0,0,0,0.27942872,0.001158665,Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.
healthfact,10640,0,1,1,1,0.79582226,0.9901641,Drug may delay high blood pressure in some
healthfact,27167,1,0,0,0,0.19085827,0.002874445,"A list of chemicals, written as if they were ingredients on a food label, accurately depicts the chemical composition of a banana."
healthfact,8951,0,1,1,1,0.6312567,0.99934703,'Universal' blood test for earlier diagnosis of cancer moves closer to market
healthfact,28225,1,0,0,0,0.23710026,0.0024055566,"Donald Trump violated Palm Beach ordinances by putting up an outsized U.S. flag and pole, then donating the money he was fined to veterans' organizations."
healthfact,11307,0,1,1,1,0.6593444,0.7274709,Knee Braces Ease Osteoarthritis Pain
healthfact,9895,0,1,1,1,0.99077624,0.9998784,"For Cold Virus, Zinc May Edge Out Even Chicken Soup"
healthfact,25824,1,0,0,0,0.12295303,0.0008603913,There’s a “direct correlation” between North Carolina’s mask requirement and COVID-19 stabilization.
healthfact,26589,1,0,0,0,0.15042745,0.0007228154,Facebook post Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.
healthfact,27347,1,0,0,0,0.3908519,0.013037291,Roseanne Barr posed as Hitler for an issue of satirical Jewish magazine 'Heeb.'
healthfact,36251,1,0,0,0,0.31734937,0.0017951834,"Mississippi chicken plant Koch Foods, which was raided by ICE in August 2019, was the subject of a previous lawsuit brought by workers and was subsequently ordered to pay a settlement."
healthfact,12792,0,1,1,1,0.985415,0.99954104,"300,000 pounds of rat meat sold as chicken wings across America."
healthfact,12063,0,1,1,1,0.99870706,0.99991524,Missouri Votes to Let Employers Fire People Who Use Birth Control.
healthfact,22338,1,0,0,0,0.36732808,0.0015326731,"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s."
healthfact,10248,1,0,0,0,0.04386949,0.0005793236,Trendy fizzy drink is mushrooming
healthfact,27124,1,0,0,0,0.046127677,0.0008866695,An image of a plant with phallic-looking structures is a genuine botanical specimen.
