dataset,record_id,label,tfidf_prediction,biobert_prediction,pubmed_prediction,biobert_prob_1,pubmed_prob_1,text
healthfact,29144,0,1,0,0,0.46930176,0.001165062,Queen Elizabeth II wore a Burmese Ruby Tiara as a slight against U.S. President Donald Trump.
healthfact,9960,0,1,0,0,0.30744505,0.0011063658,Scientists look to stem cells to mend broken hearts
healthfact,10970,1,0,1,1,0.88206154,0.999749,"To reverse damage of sitting, take a brisk, hour-long walk"
healthfact,22800,1,0,1,1,0.72119087,0.6911326,The city of Atlanta has $56 million in its reserves.
healthfact,5571,1,0,1,1,0.9912623,0.9996426,CVI: The impairment affecting children whose eyes are fine.
healthfact,28092,1,0,1,1,0.5821323,0.7707913,Immigration authorities are taking rosaries away from immigrants at the border.
healthfact,33983,0,1,0,0,0.17753959,0.00057671155,NASA and NOAA faked climate data in the GISTEMP global temperature record to exaggerate global warming.
healthfact,15867,0,1,0,0,0.44172758,0.0047464003,"Drug Policy Alliance Says Debbie Wasserman Schultz ""voted repeatedly to send terminally ill patients to prison."
healthfact,2654,1,0,1,1,0.9989599,0.99990773,French breast implant boss arrested.
healthfact,33361,0,1,0,0,0.11694245,0.0010344194,"HIV-positive basketball star Earvin ""Magic"" Johnson donated blood to patients with leukemia."
healthfact,29946,0,1,0,0,0.4169648,0.010761766,U.S. Representatives Rashid Tlaib and Ilhan Omar co-sponsored legislation to recognize Muslim holidays as federal holidays.
healthfact,25743,0,1,0,0,0.43845227,0.0005932056,The coronavirus has seen a “big surge in New Zealand. It's terrible. We don't want that.
healthfact,29548,0,1,0,0,0.26667824,0.010402521,"Students at Emory University were offered ""emergency counseling"" after pro-Trump graffiti appeared overnight in campus ""safe spaces."
healthfact,31986,0,1,0,0,0.07342249,0.0014317489,"The term ""Black Friday"" originated with the practice of selling off slaves on the day after Thanksgiving."
healthfact,39292,0,1,0,0,0.19386904,0.00087089796,Pro-life activists say Girl Scout cookie sales benefit Planned Parenthood and have called for a boycott.
healthfact,30817,0,1,0,0,0.282253,0.00875582,Authorities in Kenya warned of a new outbreak of HPV that spreads through kissing and is deadlier than HIV/Aids.
healthfact,25301,1,0,1,1,0.50851005,0.9284207,"In the Illinois Legislature, Barack Obama ""voted 'present,' instead of yes or no"" on seven votes involving abortion rights."
healthfact,24475,0,1,0,0,0.20586574,0.0008354218,"The Baucus health care bill ""could be used to ban guns in home self-defense."
healthfact,12507,1,0,1,1,0.81984204,0.7419979,Planned Parenthood is the biggest abortion provider in the country.
healthfact,22704,1,0,1,1,0.8142713,0.93682665,"Of the top five cities for staged automobile accidents, three are in Florida. … We rank No. 1 in the country in staged auto accidents."
healthfact,11354,1,0,1,1,0.5916367,0.9976253,Stem Cell Research: The Quest Resumes
healthfact,7848,1,0,1,1,0.97891515,0.8747797,Five minutes in the green can boost self esteem.
healthfact,29768,0,1,0,0,0.07682238,0.0018057311,Dutch teen author Noa Pothoven was voluntarily euthanized.
healthfact,993,1,0,1,1,0.99351233,0.9998441,"In an impoverished Chilean suburb, a recycling drive flourishes."
healthfact,37509,1,0,1,1,0.7040718,0.99438184,"In January 2017, Dr. Anthony Fauci predicted a serious pandemic during U.S. President Donald Trump's tenure in office."
healthfact,9692,0,1,0,0,0.2281729,0.0076262467,Cortisol levels in children's hair may reveal future mental health risk
healthfact,2364,1,0,1,1,0.9923734,0.999777,Scientists grow viable vaginas from girls' own cells.
healthfact,26434,1,0,1,1,0.5281991,0.9990344,Virginia has “lagged behind other states when it comes to (covid-19) testing.”
