dataset,record_id,label,prediction,confidence,text
healthfact,12063,0,1,0.99870706,Missouri Votes to Let Employers Fire People Who Use Birth Control.
healthfact,23466,0,1,0.9954788,"Alex Sink wants to ""cut Medicare."
healthfact,15085,0,1,0.9945768,HIV/AIDS among women is skyrocketing in Austin.
healthfact,9895,0,1,0.99077624,"For Cold Virus, Zinc May Edge Out Even Chicken Soup"
healthfact,15218,0,1,0.99033535,"Planned Parenthood is ""not actually doing women’s health issues."
healthfact,10025,0,1,0.9875453,Aspirin Linked to Lower Pancreatic Cancer Risk
healthfact,12792,0,1,0.985415,"300,000 pounds of rat meat sold as chicken wings across America."
healthfact,10201,0,1,0.9853088,Partial rather than full knee replacements better for many – report
healthfact,32930,0,1,0.9835543,New York state has legalized heroin.
healthfact,10069,0,1,0.9666209,Compound May Fight Hard-to-Treat Lung Cancer
healthfact,27050,1,0,0.96053153,Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets.
healthfact,26210,1,0,0.9604,Facebook post Says researchers found a “fabric that kills coronaviruses”
healthfact,15271,0,1,0.95762473,"Dick Black Says Jill McCabe ""supports late term abortions. Larger baby parts are more profitable."
healthfact,10248,1,0,0.9561305,Trendy fizzy drink is mushrooming
healthfact,27124,1,0,0.9538723,An image of a plant with phallic-looking structures is a genuine botanical specimen.
healthfact,10499,1,0,0.95317143,Extracting the facts about pomegranate pills
healthfact,13529,0,1,0.9505113,"California’s Prop 55 ""prevents $4 billion in new cuts to our schools."
healthfact,10173,1,0,0.9495222,An implant that hits a nerve
healthfact,9458,1,0,0.94706345,Researchers identify CTE biomarker that may lead to diagnosis while alive
healthfact,10740,0,1,0.9469461,Weighing effectiveness versus risk in obesity drugs
healthfact,6881,1,0,0.9423616,Okposo says he’s healthy after concussion put him in ICU.
healthfact,42037,0,1,0.940232,Henry Winkler Dead at 77 – A Huge Trump Supporter and Lifelong Gun Lover.
healthfact,11257,1,0,0.9401652,Tiny Eye Telescope Brings Back A World Of Sight
healthfact,27128,1,0,0.9395341,A form of strep infection is capable of affecting the nasal cavity and face.
